player_name,season,team,cap_hit
Alex Tuch,21-22,BUF,4750000
Alex Tuch,22-23,BUF,4750000
Alex Tuch,23-24,BUF,4750000
Alex Tuch,24-25,BUF,4750000
Alex Tuch,25-26,BUF,4750000
Bo Horvat,21-22,VAN,5500000
Bo Horvat,22-23,NYI,5500000
Bo Horvat,22-23,VAN,5500000
Bo Horvat,23-24,NYI,8500000
Bo Horvat,24-25,NYI,8500000
Bo Horvat,25-26,NYI,8500000
Brad Marchand,21-22,BOS,6125000
Brad Marchand,22-23,BOS,6125000
Brad Marchand,23-24,BOS,6125000
Brad Marchand,24-25,BOS,6125000
Brad Marchand,24-25,FLA,6125000
Brad Marchand,25-26,FLA,5250000
Brandon Hagel,21-22,CHI,6500000
Brandon Hagel,21-22,TBL,6500000
Brandon Hagel,22-23,TBL,6500000
Brandon Hagel,23-24,TBL,6500000
Brandon Hagel,24-25,TBL,6500000
Brandon Hagel,25-26,TBL,6500000
Brock Nelson,21-22,NYI,6000000
Brock Nelson,22-23,NYI,6000000
Brock Nelson,23-24,NYI,6000000
Brock Nelson,24-25,COL,6000000
Brock Nelson,24-25,NYI,6000000
Brock Nelson,25-26,COL,7500000
Cole Schwindt,24-25,VGK,775000
Cole Schwindt,25-26,FLA,775000
Harrison Brunicke,25-26,PIT,950000
J.T. Miller,21-22,VAN,5250000
J.T. Miller,22-23,VAN,5250000
J.T. Miller,23-24,VAN,8000000
J.T. Miller,24-25,NYR,8000000
J.T. Miller,24-25,VAN,8000000
J.T. Miller,25-26,NYR,8000000
Jack Eichel,21-22,VGK,10000000
Jack Eichel,22-23,VGK,10000000
Jack Eichel,23-24,VGK,10000000
Jack Eichel,24-25,VGK,10000000
Jack Eichel,25-26,VGK,10000000
Jake Guentzel,21-22,PIT,9000000
Jake Guentzel,22-23,PIT,9000000
Jake Guentzel,23-24,CAR,9000000
Jake Guentzel,23-24,PIT,9000000
Jake Guentzel,24-25,TBL,9000000
Jake Guentzel,25-26,TBL,9000000
Jakob Chychrun,21-22,ARI,9000000
Jakob Chychrun,22-23,ARI,9000000
Jakob Chychrun,22-23,OTT,9000000
Jakob Chychrun,23-24,OTT,9000000
Jakob Chychrun,24-25,WSH,9000000
Jakob Chychrun,25-26,WSH,9000000
Jonathan Huberdeau,21-22,FLA,10500000
Jonathan Huberdeau,22-23,CGY,10500000
Jonathan Huberdeau,23-24,CGY,10500000
Jonathan Huberdeau,24-25,CGY,10500000
Jonathan Huberdeau,25-26,CGY,10500000
Liam Ohgren,23-24,MIN,925000
Liam Ohgren,24-25,MIN,925000
Liam Ohgren,25-26,MIN,925000
Liam Ohgren,25-26,VAN,925000
Logan Stankoven,23-24,DAL,925000
Logan Stankoven,24-25,CAR,925000
Logan Stankoven,24-25,DAL,925000
Logan Stankoven,25-26,CAR,925000
MacKenzie Weegar,21-22,FLA,6250000
MacKenzie Weegar,22-23,CGY,6250000
MacKenzie Weegar,23-24,CGY,6250000
MacKenzie Weegar,24-25,CGY,6250000
MacKenzie Weegar,25-26,CGY,6250000
Marco Rossi,22-23,MIN,863333
Marco Rossi,23-24,MIN,863333
Marco Rossi,24-25,MIN,863333
Marco Rossi,25-26,MIN,863333
Marco Rossi,25-26,VAN,863333
Matthew Tkachuk,21-22,CGY,9500000
Matthew Tkachuk,22-23,FLA,9500000
Matthew Tkachuk,23-24,FLA,9500000
Matthew Tkachuk,24-25,FLA,9500000
Mikhail Sergachev,21-22,TBL,8500000
Mikhail Sergachev,22-23,TBL,8500000
Mikhail Sergachev,23-24,TBL,8500000
Mikhail Sergachev,24-25,UTA,8500000
Mikhail Sergachev,25-26,UTA,8500000
Mikko Rantanen,21-22,COL,9250000
Mikko Rantanen,22-23,COL,9250000
Mikko Rantanen,23-24,COL,9250000
Mikko Rantanen,24-25,CAR,9250000
Mikko Rantanen,24-25,COL,9250000
Mikko Rantanen,24-25,DAL,9250000
Mikko Rantanen,25-26,DAL,12000000
Mitch Marner,21-22,TOR,10903000
Mitch Marner,22-23,TOR,10903000
Mitch Marner,23-24,TOR,10903000
Mitch Marner,24-25,TOR,10903000
Mitch Marner,25-26,VGK,10903000
Nicolas Roy,21-22,VGK,3000000
Nicolas Roy,22-23,VGK,3000000
Nicolas Roy,23-24,VGK,3000000
Nicolas Roy,24-25,VGK,3000000
Nicolas Roy,25-26,TOR,3000000
Oliver Bjorkstrand,21-22,CBJ,5400000
Oliver Bjorkstrand,22-23,SEA,5400000
Oliver Bjorkstrand,23-24,SEA,5400000
Oliver Bjorkstrand,24-25,SEA,5400000
Oliver Bjorkstrand,24-25,TBL,5400000
Oliver Bjorkstrand,25-26,TBL,5400000
Oliver Moore,24-25,CHI,950000
Oliver Moore,25-26,CHI,950000
Peyton Krebs,21-22,BUF,863333
Peyton Krebs,21-22,VGK,863333
Peyton Krebs,22-23,BUF,863333
Peyton Krebs,23-24,BUF,863333
Peyton Krebs,24-25,BUF,863333
Peyton Krebs,25-26,BUF,863333
Quinn Hughes,21-22,VAN,7850000
Quinn Hughes,22-23,VAN,7850000
Quinn Hughes,23-24,VAN,7850000
Quinn Hughes,24-25,VAN,7850000
Quinn Hughes,25-26,MIN,7850000
Quinn Hughes,25-26,VAN,7850000
Seth Jones,21-22,CHI,9500000
Seth Jones,22-23,CHI,9500000
Seth Jones,23-24,CHI,9500000
Seth Jones,24-25,CHI,9500000
Seth Jones,24-25,FLA,9500000
Seth Jones,25-26,FLA,9500000
Timo Meier,21-22,SJS,8800000
Timo Meier,22-23,NJD,8800000
Timo Meier,22-23,SJS,8800000
Timo Meier,23-24,NJD,8800000
Timo Meier,24-25,NJD,8800000
Timo Meier,25-26,NJD,8800000
Tomas Hertl,21-22,SJS,8137500
Tomas Hertl,22-23,SJS,8137500
Tomas Hertl,23-24,SJS,8137500
Tomas Hertl,23-24,VGK,8137500
Tomas Hertl,24-25,VGK,8137500
Tomas Hertl,25-26,VGK,8137500
Vladimir Tarasenko,21-22,STL,5000000
Vladimir Tarasenko,22-23,NYR,5000000
Vladimir Tarasenko,22-23,STL,5000000
Vladimir Tarasenko,23-24,FLA,5000000
Vladimir Tarasenko,23-24,OTT,5000000
Vladimir Tarasenko,24-25,DET,5000000
Vladimir Tarasenko,25-26,MIN,5000000
Yanni Gourde,21-22,SEA,5166667
Yanni Gourde,22-23,SEA,5166667
Yanni Gourde,23-24,SEA,5166667
Yanni Gourde,24-25,SEA,5166667
Yanni Gourde,24-25,TBL,5166667
Yanni Gourde,25-26,TBL,5166667
Zeev Buium,25-26,MIN,950000
Zeev Buium,25-26,VAN,950000
